s1,s2,s3,s4,s5,m1,m2
0,0,0,1500,1750,4,5
0,0,1750,1750,0,5,-2
3,1500,1750,1750,1500,5,-2
-5,1500,1500,1800,1500,5,-2
30,1500,1500,1800,1500,5,-2
-30,1500,1500,1800,1500,5,-2
180,0,0,0,0,-5,5
-180,0,0,0,0,5,-5
90,0,0,0,0,-2,5
-90,0,0,0,0,5,-2
-85,1,3,2,9,5,-2
-90,0,0,1500,1500,3,5
90,1500,1500,0,0,5,3
5,7,8,3,12,5,5
45,1500,1500,0,0,5,3
0,1500,1500,0,0,5,3
-45,0,0,1500,1500,3,5
0,0,0,1500,1500,3,5
0,0,0,0,0,5,5
0,2000,1500,0,0,5,4
0,0,0,1500,2000,4,5
0,0,2000,2000,0,5,-2
3,1500,2000,2000,1500,5,-2
-5,1500,1700,1800,1500,5,-2
30,1500,1700,1800,1500,5,-2
-30,1500,1700,1800,1500,5,-2
180,0,0,0,0,-5,5
-180,0,0,0,0,5,-5
90,0,0,0,0,-2,5
-90,0,0,0,0,5,-2
-85,1,3,2,9,5,-2
-90,0,0,1500,1500,3,5
90,1500,1500,0,0,5,3
5,7,8,3,12,5,5
45,1500,1500,0,0,5,3
0,1500,1500,0,0,5,3
-45,0,0,1500,1500,3,5
0,0,0,1500,1500,3,5
0,0,0,0,0,5,5
0,1750,1500,0,0,5,4
